A1,A2,A3,BV,G,GM,H,H_sigma,IR,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,inexact,last_obs,ma,moid,moid_jup,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,,,,22.0,,,,1.8602260494077343,2.789052364407913,,APO,3554.851215181151,6.0,34.0,,,5.897444999999999,0.4993083046524923,2458200.5,20180323.0,58200.0,J2000,0.1366090123221672,,2002-02-21,(2002 DO3),3.8017059955211185,bK02D03O,,2002-03-27,98.1952579691996,0.029321899999999998,2.1916599999999997,11.411203823,0.3884682162362089,,,80.0,,Y,56.131077637128314,JPL 7,2002 DO3,926.7167427182802,2.53721216349974,Y,,334441900.986397,Otto Matic,58987970.31537034,2002 DO3,0.9313997344075552,0.68901,,4785483647.727479,177.74322964285955,0.00046564,0.00069813,0.00015289,0.0013556,0.93745,0.00014586,0.0088635,0.34795,5.127e-05,2.3183,0.010301000000000001,X,X,,3114075.0,3.8310000000000004,2457947.72447329,20170713.2244733,,165.5421787271544
,,,,,,20.4,,,,1.137303299134252,1.3267128163663229,,APO,3467.382792756088,0.0,6521.0,,,6.014526,0.1665426604989666,2458200.5,20180323.0,58200.0,J2000,0.28541668088449595,,2000-02-04,483422 (2000 CE59),12.26437511995548,a0483422,,2017-12-12,226.18105862441416,0.00822424,3.7637699999999996,3.2006274807999997,0.8126239641387855,3.0,2.0,353.0,,Y,318.65662203013335,JPL 90,483422.0,443.00933259029114,1.2128934499392,Y,,10652332882.850592,Otto Matic,1796926664.1531374,2000 CE59,0.947893781902182,0.44611999999999996,,-17622002111.915695,173.38913963780442,4.5504e-10,5.3083e-10,2.7663e-08,6.9566e-06,1.6658e-05,4.877e-10,7.877699999999999e-06,2.6588e-07,3.1629e-08,2.0558000000000002e-05,1.9251e-05,L,L,,2483422.0,5.476,2458365.175110852,20180903.6751109,,307.4436335024041
,,,,,,17.7,,,,1.917402637595283,2.7425886610857497,0.22699999999999998,AMO,3441.235992539257,0.0,11208.0,0.844,0.228,6.00986,0.43036658410221895,2458200.5,20180323.0,58200.0,J2000,,,1986-09-10,48603 (1995 BC2),5.024842287296242,a0048603,,2017-05-18,292.1514148115564,0.13508599999999998,2.68094,52.57141862,0.3712223307920741,,,424.0,,Y,328.2896949065942,JPL 90,48603.0,969.7692464563513,2.65508349474703,N,,78869660059.67476,Otto Matic,13214334950.932186,1995 BC2,1.092216614104816,0.6086199999999999,,1128535232589.6208,172.0817996269629,5.596e-09,8.0043e-09,5.4938000000000005e-08,7.9886e-06,1.4578e-05,1.6251e-09,5.9244e-05,4.2454e-06,1.0692999999999999e-07,3.9654000000000004e-05,6.0681000000000004e-05,X,X,,2048603.0,3.805,2458383.270753698,20180921.7707537,,81.7686285151001
,,,,,,18.7,,,,1.7151761080284131,2.404923299990826,0.14,AMO,3331.218909165203,0.0,10032.0,0.6,,6.1460919999999994,0.4021436566973133,2458200.5,20180323.0,58200.0,J2000,,,1991-02-13,14402 (1991 DB),11.417612131211019,a0014402,,2018-08-02,352.3231625188768,0.102394,2.59532,39.84867298,0.4387741122772037,,,634.0,,Y,158.2481408972425,JPL 90,14402.0,820.4677302670111,2.24631822112802,N,,168196133654.8061,Otto Matic,26675057553.49495,1991 DB,1.0254289160660008,0.44851,2.2656,-140346323312.76584,166.58094545826015,1.0798e-09,1.5140000000000001e-09,2.7025000000000002e-08,6.9628e-06,5.585800000000001e-06,4.1434e-10,1.2742000000000001e-05,7.7477e-07,4.6363e-08,1.2740999999999999e-05,1.7808e-05,C,C,,2014402.0,4.064,2458217.996103955,20180409.496104002,,51.362867712861345
,,,,,,19.9,,,,1.2476123615499828,1.559693301634103,0.17300000000000001,APO,3289.4492559665505,0.0,6548.0,0.335,0.006999999999999999,6.224880000000001,0.250142552047499,2458200.5,20180323.0,58200.0,J2000,,,2000-09-03,162567 (2000 RW37),13.74566201573859,a0162567,,2018-08-08,114.5704609864501,0.00772595,3.5617099999999997,3.0067079614999996,0.7072689137166868,,,205.0,,Y,333.3273832117117,JPL 56,162567.0,509.00017379274567,1.3935665264688502,Y,,29274984806.95628,Otto Matic,4526620921.827025,2000 RW37,0.9355314214658634,0.42026,,-24427651179.697567,164.49246279832752,3.2411999999999995e-09,4.052e-09,6.162999999999999e-08,1.2423e-05,1.7937e-05,2.7560999999999996e-09,2.1836999999999998e-05,1.9835e-06,7.5619e-08,2.4987e-05,2.6201e-05,C,C,,2162567.0,5.092,2458038.5100429067,20171012.0100429,,133.2435627868326
,-5.8929295788217575e-15,,,,,19.2,,,,1.40368306001145,1.865644705507632,0.042,APO,3285.3328995866664,0.0,9192.0,0.939,0.006999999999999999,6.221524,0.3291068038481656,2455670.5,20110419.0,55670.0,J2000,,,1989-04-30,85774 (1998 UT18),13.589367400860631,a0085774,,2014-06-30,135.4284144516947,0.0371195,3.30261,14.445795815,0.5926529980962271,4.0,4.0,594.0,,Y,64.69324536867637,JPL 138,85774.0,607.4380812320602,1.66307482883521,Y,,644702024580.3337,Otto Matic,99615490230.63084,1998 UT18,0.9417214145152693,0.42448,34.0,-537952667615.0845,164.28664497933332,1.0975999999999999e-10,1.4588e-10,1.2085999999999998e-08,8.502100000000001e-06,1.9693e-06,6.951100000000001e-11,5.6562e-06,7.1245e-08,1.6937e-08,3.342e-06,7.8356e-06,C,C,,2085774.0,4.66,2455441.9878438367,20100902.4878438,,50.043012344820326
,,,0.91,,,15.2,,,0.5,2.03310942807809,2.9606489050673437,0.22,AMO,3217.7354589064125,0.0,13053.0,2.8,,6.28793,0.4562171933195266,2458200.5,20180323.0,58200.0,J2000,,,1982-02-28,3288 Seleucus (1982 DV),5.930740520415433,a0003288,,2017-11-24,145.1602446924744,0.102117,2.00887,39.74087289,0.3399874940500322,,,1621.0,Seleucus,Y,218.6529998518859,JPL 327,3288.0,1058.862476709284,2.89900746532316,N,,33521354818967.523,Otto Matic,5019372669956.656,1982 DV,1.105569951088836,0.47721,75.0,-28173511189937.21,160.90677294532063,2.3643e-09,3.443e-09,2.7174e-08,3.3687e-06,5.9925e-06,5.930700000000001e-10,3.9694e-05,1.8471e-06,5.5056e-08,1.7143e-05,3.9786e-05,K,K,S,2003288.0,3.6660000000000004,2457773.542399403,20170120.0423994,,349.30938390626227
,,,,,,16.6,,,,2.251476076383777,3.4958827194347597,0.018000000000000002,APO,3205.5422001264305,0.0,17009.0,4.692,1.179,6.301776,0.5527070245621682,2458200.5,20180323.0,58200.0,J2000,,,1971-10-21,152679 (1998 KU2),4.9272685141349815,a0152679,,2018-05-16,282.0505706260676,0.059801599999999996,1.90786,23.272988671999997,0.2917447630243069,,,1241.0,,Y,205.768856119393,JPL 181,152679.0,1233.955311718848,3.3783855214752903,N,,80321400968785.4,Otto Matic,11955150622289.568,1998 KU2,1.007069433332795,0.45083,125.0,-67507292029409.93,160.29711000632153,1.6935e-09,2.6295e-09,2.0951e-08,3.2781e-06,2.1921e-06,3.2916000000000003e-10,3.7323e-05,1.3922e-06,4.7306e-08,7.6946e-06,3.7517e-05,Cb,Cb,,2152679.0,3.403,2458467.683645615,20181215.183645602,,120.25448302831009
,-3.896260079821375e-14,,,,,19.5,,,,0.9151005840247852,1.157356635923874,0.033,ATE,3189.717020030081,0.0,23014.0,0.918,0.01,6.4016660000000005,0.2647316110690273,2456419.5,20130507.0,56419.0,J2000,,,1954-11-20,65679 (1989 UQ),1.299319075129616,a0065679,,2017-11-23,167.2036955973838,0.0139803,3.79415,5.440713351,1.1259026079939132,,,725.0,,Y,178.24541474679052,JPL 124,65679.0,319.7434639941312,0.875409894576677,Y,,600731605805.0773,Otto Matic,87584018300.91937,1989 UQ,0.6728445321256961,0.45263000000000003,7.747999999999999,-354810520176.5721,159.50585100150406,2.832e-09,3.5818e-09,2.5976e-07,5.754600000000001e-06,4.5361e-05,5.2266e-09,0.00010867,1.4843000000000001e-06,2.362e-07,4.0735e-05,0.00011113,B,B,,2065679.0,6.495,2456270.9936421583,20121209.4936422,,14.89537402204791
,,,,,,16.6,,,,1.540482012212544,2.111430693453673,0.052000000000000005,APO,3172.6462351187274,0.0,13952.0,3.21,,6.382391,0.3706298916279424,2458200.5,20180323.0,58200.0,J2000,,,1979-11-16,25330 (1999 KV4),14.3292797967298,a0025330,,2018-01-27,331.9918201310927,0.17263599999999998,3.0268599999999997,67.18475212,0.5154886727030192,,,626.0,,Y,50.60921956666382,JPL 113,25330.0,698.3664609200857,1.91202316473672,N,,25684288253828.87,Otto Matic,3735863659632.821,1999 KV4,0.969533330971414,0.51857,4.919,-15169928779580.484,158.65231175593638,8.615700000000001e-09,1.1809e-08,3.8978e-08,7.8095e-06,2.918e-05,4.3246e-09,2.0339e-05,5.8588e-06,6.0332e-08,5.7048999999999995e-05,2.4329e-05,B,B,,2025330.0,4.357,2458254.8332595886,20180516.3332596,,85.98621409617479
